a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-3
adobe-source-code-pro-fonts 2.030ro+1.050it-3
adwaita-icon-theme 3.22.0+1+g58cd459e-1
akonadi 16.12.1-2
akonadi-contacts 16.12.1-1
alan-bzr 1:114-1
alsa-lib 1.1.3-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.3-1
amidst 4.2-1
android-sdk 25.2.1-1
android-tools 7.1.1_r13-1
android-udev 20170103-1
ansible 2.2.1.0-1
apache 2.4.25-1
apr 1.5.2-1
apr-util 1.5.4-2
arch-install-scripts 17-1
archey-plus 0.2.8-1
archlinux-keyring 20170104-1
arduino 1:1.8.0-3
arduino-avr-core 1.6.16-1
arduino-builder 1.3.23-2
arduino-ctags 5.8_arduino10-1
arduino-docs 1.6.6-4
art-sharp 2.24.2-4
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atkmm 2.24.2+1+gf30b47f-1
attica-qt4 0.4.2-3
attica-qt5 5.30.0-1
attr 2.4.47-2
audacity 2.1.2-3
aurvote 1.9-3
autoconf 2.69-4
autokey-py3 0.93.7-1
automake 1.15-2
avahi 0.6.32-3
avr-binutils 2.27-2
avr-gcc 6.3.0-1
avr-libc 2.0.0-1
avrdude 1:6.3-2
awesome 4.0-1
babl 0.1.18-1
baloo 5.30.0-1
baloo-widgets 16.12.1-1
bash 4.4.005-2
bc 1.06.95-3
bind-tools 9.11.0.P2-1
binutils 2.27-1
bison 3.0.4-2
blas 3.7.0-1
boost 1.63.0-1
boost-libs 1.63.0-1
bridge-utils 1.6-1
bumblebee 3.2.1-12
bzip2 1.0.6-5
c-ares 1.12.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.27.2-1
ca-certificates-utils 20160507-1
cabextract 1.6-1
cairo 1.14.8-1
cairomm 1.12.0-2
calibre 2.77.0-2
cantarell-fonts 1:0.0.25-3
cblas 3.7.0-1
cdparanoia 10.2-5
celt 0.11.3-2
cgmanager 0.39-2
chmlib 0.40-4
cifs-utils 6.5-1
ckermit 9.0.302-6
cln 1.3.4-3
clucene 2.3.3.4-9
cmake 3.7.2-1
cmatrix 1.2a-11
cmus 2.7.1-8
compiz 0.9.13.0-7
compositeproto 0.4.2-3
compton 0.1_beta2.5-4
confuse 3.0-1
conky 1.10.6-1
convertlit 1.8-7
coreutils 8.26-1
cowsay 3.03-9
cracklib 2.9.6-1
cryptsetup 1.7.3-1
ctags 5.8-5
curl 7.52.1-2
cyrus-sasl 2.1.26-8
cython 0.25.2-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.14-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0-2
delorean-dark-themes-3.8 10082013-1
deluge 1.3.13+11+g48cedf635-1
desktop-file-utils 0.23-1
device-mapper 2.02.168-1
dhclient 4.3.5-1
dhcpcd 6.11.5-1
dialog 1:1.3_20160828-1
diffutils 3.5-1
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-2
docker 1:1.12.6-1
dolphin 16.12.1-1
dosbox 0.74-7
dosfstools 4.0-3
dotconf 1.3-4
doublecmd-qt 0.7.7-2
downgrade 5.3.0-1
dwarffortress 0.43.05-4
e2fsprogs 1.43.3-1
ebook-tools 0.2.2-3
electrum 2.7.17-1
elfutils 0.168-1
emacs 25.1-3
enchant 1.6.0-10
espeak 1.48.04-2
exiv2 0.25-3
exo 0.10.7-2
expat 2.2.0-2
extra-cmake-modules 5.30.0-1
faac 1.28-5
faad2 2.7-4
facter 3.4.2-1
fakeroot 1.21-2
farstream 0.2.8-1
feh 2.18-1
ffmpeg 1:3.2.2-2
ffmpeg2.8 2.8.9-2
ffmpegthumbs 16.12.1-1
fftw 3.3.6-1
file 5.29-1
filesystem 2016.12-2
filezilla 3.24.0-1
findutils 4.6.0-2
firefox 50.1.0-1
fixesproto 5.0-3
flac 1.3.1-3
flex 2.6.3-1
fontconfig 2.12.1-4
fontconfig-ttf-ms-fonts 1.0-2
fontsproto 2.1.3-1
fortune-mod 1.99.1-6
fpc 3.0.0-1
freeglut 3.0.0-1
freetype2 2.7.1-1
fribidi 0.19.7-1
fuse-common 3.0.0-1
fuse2 2.9.7-3
gamin 0.1.10-8
garcon 0.4.0-1
gawk 4.1.4-2
gc 7.6.0-1
gcc-libs-multilib 6.3.1-1
gcc-multilib 6.3.1-1
gconf 3.2.6-5
gconf-sharp 2.24.2-4
gconf-sharp-peditors 2.24.2-4
gcr 3.20.0+11+g8322f27-1
gd 2.2.3-3
gdbm 1.12-2
